created_at,job,price(usd),matched_keywords_job,combined_keywords
2021-07-08 16:35:34,"1) cilindro y soldar 2) cilindro 3) cilindro, soldar y tornillo",62.68,Cilindro,"cilindro, soldar"
2021-07-10 15:36:48,"Retapizado, cilindro, canasto, y chapòn.",53.56,Cilindro,"cilindro, canasto"
2021-07-15 14:22:41,Cambio de cilindro,17.66,Cilindro,cilindro
2021-07-15 15:11:41,"1) Cilindro e interno en madera 2)Interno completo  3) Tornillos, aceitar, limpiar",60.97,Cilindro,
2021-07-16 14:29:34,Cilindro y bulòn en c. permanente,23.36,Cilindro,
2021-07-19 16:45:47,"cilindro, retap.y rell. asiento y tornillos",31.34,Cilindro,cilindro
2021-07-22 18:39:45,Revisar cilindro,0.0,Cilindro,cilindro
2021-08-03 13:19:44,Cilindro,19.26,Cilindro,
2021-08-03 14:14:27,Cilindro y revisar,19.26,Cilindro,
2021-08-03 19:26:48,Cambio de cilindro,19.26,Cilindro,cilindro
2021-08-04 14:17:56,Retapizar asiento-Cilindro-Cucurucho,46.18,Cilindro,
2021-08-04 16:17:06,colocar cilindro corto,20.4,Cilindro,cilindro
2021-08-04 18:20:03,Cilindro,19.26,Cilindro,
2021-08-05 15:13:01,Cilindro y ruedas,27.03,Cilindro,"ruedas, rueda"
2021-08-06 14:57:51,Cilindro,19.26,Cilindro,
2021-08-07 15:30:55,"Revisar y cotizar cilindro, ruedas Portantino",57.22,Cilindro,"cilindro, ruedas, rueda"
2021-08-09 17:11:09,Colocar cilindro largo,19.26,Cilindro,cilindro
2021-08-09 18:14:08,Cilindro,19.26,Cilindro,
2021-08-17 15:11:47,"cilindro, ruedas y retapizado",47.42,Cilindro,"cilindro, ruedas, rueda"
2021-08-18 20:01:25,"Retapizado completo, 1 cilindro, 5 ruedas y tornillos.",70.25,Cilindro,"cilindro, ruedas, rueda"
2021-08-19 15:54:06,Cambio de cilindro,19.26,Cilindro,cilindro
2021-08-20 13:55:39,cambiar chapón con U- cambiar cilindro,34.56,Cilindro,"cilindro, chapón"
2021-08-27 15:46:38,CILINDRO,19.26,Cilindro,
2021-08-28 16:20:38,"Rellenar asiento, cilindro, suplementar apoyabrazos",31.16,Cilindro,cilindro
2021-08-28 16:40:50,cambiar chapon (comun)- poner 4 parker-  ver si hay que suplementar cilindro  al cambiar chapón,16.43,Cilindro,"cilindro, chapón"
2021-08-28 16:49:24,"En los 2 cilindro, interno de madera con insertos nuevos.",77.85,Cilindro,cilindro
2021-08-30 15:12:56,"Poner botones en asiento, 5 ruedas, cilindro.",32.29,Cilindro,"cilindro, ruedas, rueda"
2021-09-01 15:28:18,"Cilindro, suplem. , apoyabrazos y retapizar asiento",32.42,Cilindro,retapizar
2021-09-01 15:49:02,"1) Retapizado completo, cilindro y ruedas  2) Retapizado completo, càscara respaldo y 1 tornillo.",70.33,Cilindro,"cilindro, ruedas, rueda"
2021-09-15 17:05:05,Cambio de cilindro y chapòn. POner el cono,30.77,Cilindro,cilindro
2021-09-17 14:42:42,Cilindro,20.6,Cilindro,
2021-09-20 16:51:22,Cambiar el cilindro,20.55,Cilindro,cilindro
2021-09-23 19:40:33,Cambiar cilindro,0.0,Cilindro,cilindro
2021-09-27 15:08:28,Chapòn y cilindro,31.32,Cilindro,cilindro
2021-10-04 14:54:39,CILINDRO,18.33,Cilindro,
2021-10-06 19:09:55,Cambiar basculante con parker y cilindro y cucurucho,41.86,Cilindro,"cilindro, basculante"
2021-10-07 14:02:00,"Soldar, suplementar cilindro y cambiar cilindro",31.37,Cilindro,cilindro
2021-10-14 17:11:14,"Revisar y presupuestar: Retapizado completo, interno asiento, cilindro, retocar aro, ruedas y 2 tornillos.",53.68,Cilindro,"cilindro, ruedas, rueda"
2021-10-18 16:11:38,Revisar cilindro y cambiar estrella. Pasè presup. x w app,37.65,Cilindro,"cilindro, estrella"
2021-10-18 19:31:30,"Ruedas, cilindro, 2 tornillos y suplem. chapòn ( arandela)",27.4,Cilindro,cilindro
2021-10-21 15:35:56,Estrella chica y cilindro,28.04,Cilindro,cilindro
2021-10-26 15:53:47,Retapizado $ 6000.- MÀS CILINDRO $ 3700.-,47.55,Cilindro,
